ParcelID,Status,LastUpdated
P80,available,8/27/2025
P79,reserved,8/27/2025
P78,sold,8/27/2025
P77,available,8/27/2025
P76,available,8/27/2025
P75,reserved,8/27/2025
P100,available,8/27/2025
P101,available,8/27/2025
P115,sold,8/27/2025
P116,available,8/27/2025
P130,available,8/27/2025
P24,available,8/27/2025
P38,reserved,8/27/2025
P39,available,8/27/2025
P23,available,8/27/2025
P22,sold,8/27/2025
P40,available,8/27/2025
P41,available,8/27/2025
P21,available,8/27/2025
P20,reserved,8/27/2025
P42,available,8/27/2025
P43,available,8/27/2025
P19,available,8/27/2025
P18,sold,8/27/2025
P44,available,8/27/2025
P67,available,8/27/2025
P52,available,8/27/2025
P51,reserved,8/27/2025
P68,available,8/27/2025
P69,available,8/27/2025
P50,available,8/27/2025
P49,sold,8/27/2025
P70,available,8/27/2025
P71,available,8/27/2025
P48,available,8/27/2025
P47,reserved,8/27/2025
P72,available,8/27/2025
P73,available,8/27/2025
P46,available,8/27/2025
P45,sold,8/27/2025
P74,available,8/27/2025
P11,available,8/27/2025
P12,available,8/27/2025
P13,reserved,8/27/2025
P14,available,8/27/2025
P15,available,8/27/2025
P16,sold,8/27/2025
P17,available,8/27/2025
P25,available,8/27/2025
P37,available,8/27/2025
P10,reserved,8/27/2025
