ParcelID,Status,LastUpdated,ChangedBy,AdminApproved
P80,available,2025-08-28,Database,YES
P79,available,2025-08-28,Database,YES
P78,available,2025-08-28,Database,YES
P77,available,2025-08-28,Database,YES
P76,available,2025-08-28,Database,YES
P75,available,2025-08-28,Database,YES
P100,available,2025-08-28,Database,YES
P101,available,2025-08-28,Database,YES
P115,available,2025-08-28,Database,YES
P116,available,2025-08-28,Database,YES
P130,available,2025-08-28,Database,YES
P24,available,2025-08-28,Database,YES
P38,available,2025-08-28,Database,YES
P39,available,2025-08-28,Database,YES
P23,available,2025-08-28,Database,YES
P22,available,2025-08-28,Database,YES
P40,available,2025-08-28,Database,YES
P41,available,2025-08-28,Database,YES
P21,available,2025-08-28,Database,YES
P20,available,2025-08-28,Database,YES
P42,available,2025-08-28,Database,YES
P43,available,2025-08-28,Database,YES
P19,available,2025-08-28,Database,YES
P18,available,2025-08-28,Database,YES
P44,available,2025-08-28,Database,YES
P67,available,2025-08-28,Database,YES
P52,available,2025-08-28,Database,YES
P51,available,2025-08-28,Database,YES
P68,available,2025-08-28,Database,YES
P69,available,2025-08-28,Database,YES
P50,available,2025-08-28,Database,YES
P49,available,2025-08-28,Database,YES
P70,available,2025-08-28,Database,YES
P71,available,2025-08-28,Database,YES
P48,available,2025-08-28,Database,YES
P47,available,2025-08-28,Database,YES
P72,sold,2025-08-28,Admin,YES
P73,available,2025-08-28,Database,YES
P46,available,2025-08-28,Database,YES
P45,available,2025-08-28,Database,YES
P74,available,2025-08-28,Database,YES
P11,available,2025-08-28,Database,YES
P12,available,2025-08-28,Database,YES
P13,available,2025-08-28,Database,YES
P14,available,2025-08-28,Database,YES
P15,available,2025-08-28,Database,YES
P16,available,2025-08-28,Database,YES
P17,available,2025-08-28,Database,YES
P25,available,2025-08-28,Database,YES
P37,reserved,2025-08-28,Jacinta,PENDING
P10,available,2025-08-28,Database,YES
