ParcelID,Status,LastUpdated
P80,available,2025-08-28
P79,available,2025-08-28
P78,available,2025-08-28
P77,available,2025-08-28
P76,available,2025-08-28
P75,available,2025-08-28
P100,available,2025-08-28
P101,available,2025-08-28
P115,available,2025-08-28
P116,available,2025-08-28
P130,available,2025-08-28
P24,available,2025-08-28
P38,available,2025-08-28
P39,available,2025-08-28
P23,available,2025-08-28
P22,available,2025-08-28
P40,available,2025-08-28
P41,available,2025-08-28
P21,available,2025-08-28
P20,available,2025-08-28
P42,available,2025-08-28
P43,available,2025-08-28
P19,available,2025-08-28
P18,available,2025-08-28
P44,available,2025-08-28
P67,available,2025-08-28
P52,available,2025-08-28
P51,available,2025-08-28
P68,available,2025-08-28
P69,available,2025-08-28
P50,available,2025-08-28
P49,available,2025-08-28
P70,available,2025-08-28
P71,available,2025-08-28
P48,available,2025-08-28
P47,available,2025-08-28
P72,sold,2025-08-28
P73,available,2025-08-28
P46,available,2025-08-28
P45,available,2025-08-28
P74,available,2025-08-28
P11,available,2025-08-28
P12,available,2025-08-28
P13,available,2025-08-28
P14,available,2025-08-28
P15,available,2025-08-28
P16,available,2025-08-28
P17,available,2025-08-28
P25,available,2025-08-28
P37,reserved,2025-08-28
P10,available,2025-08-28
